StringId,X,Y,Z,Rolling Resistance,Ground Structure,Maximum Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Speed Full (Rev),Maximum Speed Empty (Rev)
44,105855.096,104881.065,7050,2,0,100,100,100,100
44,105674.02,104594.049,7030,2,0,100,100,100,100
45,105855.096,104881.065,7050,2,0,100,100,100,100
45,106069.203,105302.456,7050,2,0,100,100,100,100
45,106253.666,105977.758,7050,2,0,100,100,100,100
45,106471.119,106370.158,7050,2,0,100,100,100,100
45,106835.578,106421.754,7050,2,0,100,100,100,100
46,105855.096,104881.065,7050,2,0,100,100,100,100
46,106313.941,106326.19,7049.062,2,0,100,100,100,100
47,107203.227,106271.731,7050,2,0,100,100,100,100
47,106835.578,106421.754,7050,2,0,100,100,100,100
47,106471.119,106370.158,7050,2,0,100,100,100,100
47,106253.666,105977.758,7050,2,0,100,100,100,100
47,106069.203,105302.456,7050,2,0,100,100,100,100
48,107744.539,106651.505,7050,2,0,100,100,100,100
48,106313.941,106326.19,7049.062,2,0,100,100,100,100
49,96276.013,102163.526,7130,2,0,100,100,100,100
49,96350.068,102303.62,7120,2,0,100,100,100,100
50,96276.013,102163.526,7130,2,0,100,100,100,100
50,96162.132,102043.357,7140,2,0,100,100,100,100
51,96276.013,102163.526,7130,2,0,100,100,100,100
51,96069.719,101950.385,7150,2,0,100,100,100,100
51,96162.132,102043.357,7140,2,0,100,100,100,100
52,96069.719,101950.385,7150,2,0,100,100,100,100
52,96010.792,101852.585,7160,2,0,100,100,100,100
52,95977.505,101769.329,7170,2,0,100,100,100,100
53,96010.792,101852.585,7160,2,0,100,100,100,100
53,95943.09,101680.596,7180,2,0,100,100,100,100
53,95977.505,101769.329,7170,2,0,100,100,100,100
54,95943.09,101680.596,7180,2,0,100,100,100,100
54,95896.513,101581.507,7190,2,0,100,100,100,100
55,95649.032,101521.793,7200,2,0,100,100,100,100
55,95896.513,101581.507,7190,2,0,100,100,100,100
56,95629.693,101575.409,7200,2,0,100,100,100,100
56,95864.272,101599.711,7190,2,0,100,100,100,100
56,95932.647,101682.47,7180,2,0,100,100,100,100
56,95966.88,101771.922,7170,2,0,100,100,100,100
56,96003.182,101858.809,7160,2,0,100,100,100,100
56,96059.937,101955.902,7150,2,0,100,100,100,100
56,96151.625,102058.138,7140,2,0,100,100,100,100
56,96273.621,102170.397,7130,2,0,100,100,100,100
56,96362.752,102291.496,7120,2,0,100,100,100,100
56,96386.839,102429.781,7120,2,0,100,100,100,100
