StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
12,9107.814,10407.038,1074.67,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9103.979,10327.888,1076.098,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9118.469,10243.595,1077.49,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9159.756,10165.103,1078.411,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9202.886,10111.548,1079.439,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9232.947,10050.874,1080.406,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9230.773,10007.889,1081.426,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9226.016,9955.897,1082.95,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9221.549,9915.582,1083.196,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9219.757,9899.41,1083.294,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9255.378,11083.604,1063.922,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9311.181,11091.689,1065.492,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9332.187,11094.733,1066.083,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9426.888,11092.618,1074.871,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9491.258,11082.413,1081.427,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9555.52,11075.61,1087.686,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
13,9621.981,11072.157,1089.224,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
14,9255.378,11083.604,1063.922,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
14,9153.105,11107.122,1064.497,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
14,9083.866,11108.456,1064.548,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
14,8987.708,11120.737,1064.74,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9311.181,11091.689,1065.492,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9313.492,11044.897,1065.508,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
15,9374.999,11024.684,1067.474,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
